-38,-34,76,-66
29,-25,-23,-18
56,53,-66,-67
-63,20,-12,97
24,64,86,-1
62,100,25,-68
-16,91,-64,-83
-53,43,15,62
60,-92,92,72
-48,-53,-69,26
-71,60,23,50
-72,17,-83,51
45,0,94,28
61,-92,-72,79
-61,46,98,-14
63,-34,35,87
82,54,58,-84
-88,7,77,96
-9,64,61,-23
-80,75,1,64
-19,40,-1,27
-3,76,-90,-71
-16,-21,-55,43
65,1,-46,59
-17,97,-36,-15
26,11,-53,-32
-50,-60,76,-41
23,97,39,40
-80,93,19,-76
-97,29,96,70
68,28,-74,-69
-64,-58,34,-98
87,4,43,-49
9,67,-57,-14
-90,89,-82,57
6,40,25,62
-13,7,73,-9
-98,86,-51,-8
-24,-99,91,-46
79,29,-72,-74
-79,-15,30,77
70,79,-42,-49
-67,75,70,84
-6,-30,86,-52
-16,-15,80,79
26,40,42,-83
-72,40,35,51
35,5,57,-90
-32,-93,73,-85
13,-95,9,50
2,-25,-55,79
-63,-86,-89,13
-8,82,49,-46
-90,-86,43,-99
-66,87,-94,18
-35,-63,20,-24
-40,-94,38,64
86,-34,54,43
-27,87,-15,-9
82,-11,46,14
83,86,-85,8
-56,-67,74,-28
-91,83,75,97
10,38,76,86
44,70,55,13
45,-3,-83,-65
-35,-23,63,87
-16,-66,99,-53
52,2,82,-4
-19,59,69,71
83,75,46,78
27,-20,92,17
76,-11,-32,-97
55,-8,52,79
10,-31,84,-1
-1,94,-44,-47
77,-18,-42,80
40,80,-34,-13
-84,98,-90,22
-1,-93,35,-62
-20,57,-94,-93
19,72,1,11
-87,-12,-96,48
93,-27,23,50
-45,18,15,15
-73,57,-20,19
-17,-31,90,12
21,58,59,61
38,56,12,58
-26,-37,-14,16
-14,-76,-56,24
24,39,-54,51
82,83,34,16
-77,60,-64,-31
84,-64,-20,-77
45,9,-100,45
-30,20,-5,-65
-5,-43,-79,98
93,30,-43,46
-69,56,-40,-89
4,-47,-94,95
-92,-38,64,-62
-75,94,97,-7
-80,-27,-42,77
-47,-44,-50,-25
23,-49,-6,-12
-97,67,-53,83
-30,-14,51,30
-96,67,-53,32
-11,-60,-68,22
12,70,91,-41
-74,15,1,31
-37,36,-5,83
-7,-78,49,-48
93,-29,-69,96
75,-92,79,46
59,-50,-93,95
79,93,88,-3
-42,6,-42,19
-68,-50,45,33
21,-45,-89,9
18,39,-22,21
-37,81,-37,-2
-20,-69,9,77
-90,55,-97,83
24,-21,-12,24
-7,40,92,90
-95,1,54,-49
-72,-85,81,-47
27,-24,51,69
-23,-73,-34,-24
-96,-47,61,39
97,-2,92,-87
-10,79,85,-93
-18,-57,-88,86
-97,-26,80,-34
23,-5,-72,-85
79,-49,42,89
-76,66,-97,-66
-30,4,58,27
-38,-11,49,-67
-65,89,-77,95
-80,84,-47,-79
-48,-52,-74,-14
-41,-54,-2,-35
-7,89,24,-82
87,53,-53,-2
73,72,-9,-96
-38,24,75,43
-38,-5,-7,94
-98,-6,-34,15
-18,-27,-12,-57
72,-6,33,-12
91,10,-23,-14
65,85,-91,23
-35,7,-98,-59
-83,23,26,92
66,-50,-67,64
-20,49,97,21
89,49,-8,-17
58,33,1,-81
65,99,73,-54
-76,84,45,33
-40,100,46,-67
41,-63,88,70
12,-85,-66,-50
47,58,-84,99
-28,6,43,3
-4,34,11,87
85,-93,70,-92
-12,-68,3,-58
77,89,-94,-5
66,5,-5,39
-57,83,62,-88
100,80,-20,-18
6,39,36,71
-56,77,-85,53
-76,63,3,-37
72,-37,39,-47
30,-97,32,-25
-56,-54,14,77
-30,-81,52,41
99,6,-35,52
-85,-6,-8,-19
72,-99,-10,71
-94,-25,-21,-7
80,83,-52,-42
-49,82,-19,19
-5,6,91,38
-76,-49,-76,14
-62,41,79,60
35,94,-2,-73
-79,-90,94,-70
-57,53,42,-93
10,-85,-50,-12
37,-52,-2,22
-19,-81,63,58
71,20,-85,-20
48,-12,60,-89
5,-10,58,82
100,-2,-27,-81
-70,38,-13,78
-17,-70,-17,-23
-11,-65,90,44
-66,49,18,-69
-54,-41,-85,-67
-76,14,54,-8
61,-49,-29,-36
-71,91,67,-81
-19,-20,-8,64
-30,10,-17,57
-77,77,27,32
-49,-1,67,23
77,31,-56,-40
-41,-27,-79,71
67,0,-86,59
96,-38,-26,47
72,-18,93,91
27,-27,-16,-86
-87,-92,54,13
-47,59,-76,-63
-55,-63,63,-50
-77,-54,-84,57
30,1,56,42
-23,-43,-11,-67
92,-51,38,6
49,-21,46,-53
-30,-66,46,-80
-20,-66,-51,46
-1,-56,14,-52
-81,-89,95,91
-22,-39,29,-81
-75,-55,9,-94
-74,-74,-40,12
-70,37,-94,56
-79,-14,81,88
87,-61,64,10
-41,-25,-99,-80
-62,-23,-33,45
-9,19,-54,48
91,50,90,56
-13,-12,91,28
14,-58,-18,2
-35,0,-11,-71
87,53,80,43
75,95,-95,48
-32,18,27,-8
79,-28,-52,-4
50,-93,53,-37
26,11,-49,67
-52,-13,73,-70
24,72,-92,15
-17,27,-59,-68
37,-95,-26,-29
-45,-68,-54,-55
9,-100,-82,-65
-83,-7,52,-18
21,-92,73,-6
-80,10,15,34
